Id|Label|FunctionName|DefaultSelected|RequiresAdmin|Platforms|RequiresRestart
build_essential|build-essential|install_build_essential|1|1|linux,wsl|0
gcc|gcc|install_gcc|1|1|linux,wsl|0
curl|curl|install_curl_pkg|1|1|linux,wsl|0
zip|zip|install_zip_pkg|1|1|linux,wsl|0
unzip|unzip|install_unzip_pkg|1|1|linux,wsl|0
python3_venv|python3-venv|install_python3_venv|1|1|linux,wsl|0
golang|Golang|install_golang|1|1|linux,wsl|0
homebrew|Homebrew|install_homebrew|1|0|linux,wsl,darwin|0
nvm|NVM (Node Version Manager)|install_nvm|1|0|linux,wsl,darwin|0
sdkman|SDKMAN|install_sdkman|1|0|linux,wsl,darwin|0
zsh|Zsh|install_zsh|1|1|linux,wsl,darwin|0
antigen|Antigen (Zsh plugin manager)|install_antigen|1|0|linux,wsl,darwin|0
oh_my_zsh|Oh My Zsh|install_oh_my_zsh|1|0|linux,wsl,darwin|0
jq|jq|install_jq|1|0|linux,wsl,darwin|0
fzf|fzf|install_fzf|1|0|linux,wsl,darwin|0
ripgrep|ripgrep|install_ripgrep|1|0|linux,wsl,darwin|0
zoxide|zoxide|install_zoxide|1|0|linux,wsl,darwin|0
gnu_grep|GNU grep (ggrep)|install_ggrep|1|0|darwin|0
eza|eza|install_eza|1|0|linux,wsl,darwin|0
fd_find|fd-find|install_fd_find|1|0|linux,wsl,darwin|0
yq|yq|install_yq|1|0|linux,wsl,darwin|0
xclip|xclip|install_xclip|1|1|linux|0
win32yank|win32yank (WSL clipboard)|install_win32yank|1|0|wsl|0
espanso|Espanso|install_espanso|1|0|linux,darwin|0
git|Git|install_git|1|1|linux,wsl|0
git_filter_repo|git-filter-repo|install_git_filter_repo|1|1|linux,wsl|0
ghq|ghq|install_ghq|1|0|linux,wsl,darwin|0
docker|Docker|install_docker|1|1|linux|1
lazydocker|lazydocker|install_lazydocker|1|0|linux,wsl,darwin|0
fonts|Fonts (JetBrains Mono, DejaVu, Cascadia Code)|install_fonts|1|0|linux,wsl,darwin|0
vscode|Visual Studio Code|install_VsCode|0|1|linux,wsl|0
iosevka_term_curly|Font: Iosevka Term Curly|install_font_IosevkaTermCurly|0|0|linux,darwin|0
