Id|Label|BashFunctionName|PowerShellFunctionName|DefaultSelected|RequiresAdmin|Platforms|RequiresRestart
chocolatey|Chocolatey||Install-Choco|1|1|windows|0
build_essential|build-essential|install_build_essential||1|1|linux,wsl|0
gcc|gcc|install_gcc||1|1|linux,wsl|0
curl|curl|install_curl_pkg||1|1|linux,wsl|0
curl|curl||Install-Curl|1|0|windows|0
zip|zip|install_zip_pkg||1|1|linux,wsl|0
unzip|unzip|install_unzip_pkg||1|1|linux,wsl|0
python3_venv|python3-venv|install_python3_venv||1|1|linux,wsl|0
golang|Golang|install_golang||1|1|linux,wsl|0
homebrew|Homebrew|install_homebrew||1|0|linux,wsl,darwin|0
nvm|NVM (Node Version Manager)|install_nvm||1|0|linux,wsl,darwin|0
sdkman|SDKMAN|install_sdkman||1|0|linux,wsl,darwin|0
zsh|Zsh|install_zsh||1|1|linux,wsl,darwin|0
antigen|Antigen (Zsh plugin manager)|install_antigen||1|0|linux,wsl,darwin|0
oh_my_zsh|Oh My Zsh|install_oh_my_zsh||1|0|linux,wsl,darwin|0
jq|jq|install_jq||1|0|linux,wsl,darwin|0
fzf|fzf|install_fzf|Install-Fzf|1|0|linux,wsl,darwin,windows|0
ripgrep|ripgrep|install_ripgrep|Install-RipGrep|1|0|linux,wsl,darwin,windows|0
zoxide|zoxide|install_zoxide||1|0|linux,wsl,darwin|0
zoxide|zoxide||Install-Zoxide|1|0|windows|0
gnu_grep|GNU grep (ggrep)|install_ggrep||1|0|darwin|0
eza|eza|install_eza|Install-Eza|1|0|linux,wsl,darwin,windows|0
fd_find|fd-find|install_fd_find|Install-FdFind|1|0|linux,wsl,darwin,windows|0
yq|yq|install_yq||1|0|linux,wsl,darwin|0
xclip|xclip|install_xclip||1|1|linux|0
win32yank|win32yank (WSL clipboard)|install_win32yank||1|0|wsl|0
espanso|Espanso|install_espanso|Install-Espanso|1|0|linux,darwin,windows|0
git|Git|install_git||1|1|linux,wsl|0
git|Git||Install-Git|1|0|windows|0
git_filter_repo|git-filter-repo|install_git_filter_repo||1|1|linux,wsl|0
gh|GitHub CLI|install_gh|Install-Gh|1|0|linux,wsl,darwin,windows|0
ghostty|Ghostty|install_ghostty||1|0|linux,darwin|0
ghostty|Ghostty||Install-Ghostty|0|0|windows|0
ghq|ghq|install_ghq|Install-Ghq|1|0|linux,wsl,darwin,windows|0
docker|Docker|install_docker||1|1|linux|1
lazydocker|lazydocker|install_lazydocker||1|0|linux,wsl,darwin|0
fonts|Fonts (JetBrains Mono, DejaVu, Cascadia Code)|install_fonts||1|0|linux,wsl,darwin|0
windows_fonts|Fuentes||Install-Fonts|1|1|windows|0
vscode|Visual Studio Code|install_vscode||0|1|linux,wsl|0
vscode|Visual Studio Code||Install-VsCode|1|0|windows|0
bat|bat||Install-Bat|1|0|windows|0
mise|mise-en-place||Install-Mise-In-Place|1|0|windows|0
fnm|fnm||Install-fnm|1|0|windows|0
powershell|PowerShell||Install-PowerShell|1|0|windows|0
pester|Pester||Install-Pester|1|0|windows|0
python|Python||Install-Python|1|0|windows|0
powertoys|PowerToys||Install-PowerToys|1|0|windows|0
scoop|Scoop||Install-Scoop|0|0|windows|0
wsl|WSL||Install-WSL|0|1|windows|1
autohotkey|AutoHotkey||Install-AutoHotkey|0|0|windows|0
vlc|VLC||Install-Vlc|0|0|windows|0
whatsapp|WhatsApp||Install-WhatsApp|0|0|windows|0
bitwarden|Bitwarden||Install-Bitwarden|0|0|windows|0
seven_zip|7-Zip||Install-7z|0|0|windows|0
hyper_v|Hyper-V||Enable-HyperV|0|1|windows|1
iosevka_term_curly|Font: Iosevka Term Curly|install_font_IosevkaTermCurly||0|0|linux,darwin|0
