Id|Label|FunctionName|DefaultSelected|RequiresAdmin|Platforms|RequiresRestart
chocolatey|Chocolatey|Install-Choco|1|1|windows|0
git|Git|Install-Git|1|0|windows|0
fzf|fzf|Install-Fzf|1|0|windows|0
ripgrep|ripgrep|Install-RipGrep|1|0|windows|0
fd_find|fd-find|Install-FdFind|1|0|windows|0
curl|curl|Install-Curl|1|0|windows|0
bat|bat|Install-Bat|1|0|windows|0
eza|eza|Install-Eza|1|0|windows|0
ghq|ghq|Install-Ghq|1|0|windows|0
vscode|Visual Studio Code|Install-VsCode|1|0|windows|0
mise|mise-en-place|Install-Mise-In-Place|1|0|windows|0
fnm|fnm|Install-fnm|1|0|windows|0
python|Python|Install-Python|1|0|windows|0
windows_fonts|Fuentes|Install-Fonts|1|1|windows|0
espanso|Espanso|Install-Espanso|1|0|windows|0
powertoys|PowerToys|Install-PowerToys|1|0|windows|0
scoop|Scoop|Install-Scoop|0|0|windows|0
wsl|WSL|Install-WSL|0|1|windows|1
autohotkey|AutoHotkey|Install-AutoHotkey|0|0|windows|0
vlc|VLC|Install-Vlc|0|0|windows|0
whatsapp|WhatsApp|Install-WhatsApp|0|0|windows|0
bitwarden|Bitwarden|Install-Bitwarden|0|0|windows|0
seven_zip|7-Zip|Install-7z|0|0|windows|0
hyper_v|Hyper-V|Enable-HyperV|0|1|windows|1
